who,what,when,where,sentences
Sarah,carbonara,last Friday,at the restaurant,Sarah ate carbonara last Friday at the restaurant.
Anna,toast,this morning,in the park,Anna ate toast this morning in the park.
Mark,curry,last night,in the park,Mark ate curry last night in the park.
Hannah,ravioli,last Saturday,at the restaurant,Hannah ate ravioli last Saturday at the restaurant.
Julia,chicken wings,this weekend,in the office,Julia ate chicken wings this weekend in the office.
Emily,toast,recently,in the kitchen,Emily ate toast recently in the kitchen.
Robert,curry,this weekend,at the cafe,Robert ate curry this weekend at the cafe.
Robert,wok,last Thursday,at the restaurant,Robert ate wok last Thursday at the restaurant.
Mary,omelette,last month,at the restaurant,Mary ate omelette last month at the restaurant.
Chris,burrito,recently,on the rooftop,Chris ate burrito recently on the rooftop.
Elizabeth,bread,this evening,in the kitchen,Elizabeth ate bread this evening in the kitchen.
Kimberly,hot dog,last Saturday,in the station,Kimberly ate hot dog last Saturday in the station.
Ben,sandwich,last Thursday,in the park,Ben ate sandwich last Thursday in the park.
Ben,noodle,last Sunday,in the garden,Ben ate noodle last Sunday in the garden.
Emma,fish,last winter,in the office,Emma ate fish last winter in the office.
Elizabeth,nachos,last Saturday,at the cafe,Elizabeth ate nachos last Saturday at the cafe.
Ethan,hamburger,last Saturday,in the park,Ethan ate hamburger last Saturday in the park.
Charles,soup,last week,at the school,Charles ate soup last week at the school.
Emily,spaghetti,today,at the school,Emily ate spaghetti today at the school.
Karen,spaghetti,last fall,in the garden,Karen ate spaghetti last fall in the garden.
Lucas,burrito,last Saturday,in the garden,Lucas ate burrito last Saturday in the garden.
Mary,spaghetti,last Tuesday,on the rooftop,Mary ate spaghetti last Tuesday on the rooftop.
Emily,salad,last Monday,at the cafe,Emily ate salad last Monday at the cafe.
Charles,pancakes,last Wednesday,at the mall,Charles ate pancakes last Wednesday at the mall.
Daniel,ravioli,last Wednesday,on the rooftop,Daniel ate ravioli last Wednesday on the rooftop.
James,pizza,last Tuesday,in the office,James ate pizza last Tuesday in the office.
Lauren,pasta,last fall,at the mall,Lauren ate pasta last fall at the mall.
Alice,ravioli,last Sunday,at the school,Alice ate ravioli last Sunday at the school.
Hannah,lasagna,last Monday,at the school,Hannah ate lasagna last Monday at the school.
Lucas,spaghetti,last Friday,in the office,Lucas ate spaghetti last Friday in the office.
Emily,pizza,yesterday,in the office,Emily ate pizza yesterday in the office.
William,fried chicken,this afternoon,in the office,William ate fried chicken this afternoon in the office.
Olivia,hot dog,last Tuesday,at the restaurant,Olivia ate hot dog last Tuesday at the restaurant.
Mark,falafel,this weekend,on the rooftop,Mark ate falafel this weekend on the rooftop.
Emma,tacos,last Wednesday,in the park,Emma ate tacos last Wednesday in the park.
Linda,fish,last Monday,at the cafe,Linda ate fish last Monday at the cafe.
Ethan,potatoes,last month,on the rooftop,Ethan ate potatoes last month on the rooftop.
Mark,rice,this weekend,at the cafe,Mark ate rice this weekend at the cafe.
Michael,cereal,last month,at the school,Michael ate cereal last month at the school.
Jason,hamburger,last fall,at the cafe,Jason ate hamburger last fall at the cafe.
Linda,bagel,last Sunday,at the restaurant,Linda ate bagel last Sunday at the restaurant.
David,hot dog,last Tuesday,in the garden,David ate hot dog last Tuesday in the garden.
Daniel,curry,two hours ago,in the kitchen,Daniel ate curry two hours ago in the kitchen.
Elizabeth,falafel,last Monday,at the school,Elizabeth ate falafel last Monday at the school.
Sam,soup,last Friday,in the garden,Sam ate soup last Friday in the garden.
Anna,ravioli,recently,at the school,Anna ate ravioli recently at the school.
Lauren,burrito,one hour ago,at the mall,Lauren ate burrito one hour ago at the mall.
John,sushi,last week,in the garden,John ate sushi last week in the garden.
James,salad,yesterday,in the park,James ate salad yesterday in the park.
Sam,toast,yesterday,in the kitchen,Sam ate toast yesterday in the kitchen.
Hannah,biscuits,last Friday,at the restaurant,Hannah ate biscuits last Friday at the restaurant.
Paul,nachos,last Saturday,in the station,Paul ate nachos last Saturday in the station.
Rachel,rice,last winter,at the mall,Rachel ate rice last winter at the mall.
Sarah,cheese,last Friday,in the garden,Sarah ate cheese last Friday in the garden.
Claire,ravioli,this weekend,in the station,Claire ate ravioli this weekend in the station.
Mary,fish,yesterday,in the kitchen,Mary ate fish yesterday in the kitchen.
Sarah,toast,last year,in the station,Sarah ate toast last year in the station.
Alice,lasagna,this weekend,at the cafe,Alice ate lasagna this weekend at the cafe.
Charles,rice,last year,at the mall,Charles ate rice last year at the mall.
James,falafel,last Tuesday,in the garden,James ate falafel last Tuesday in the garden.
Claire,fried chicken,last week,at the cafe,Claire ate fried chicken last week at the cafe.
Kimberly,pancakes,last year,in the station,Kimberly ate pancakes last year in the station.
Karen,pasta,two hours ago,in the kitchen,Karen ate pasta two hours ago in the kitchen.
Daniel,salad,two hours ago,at the school,Daniel ate salad two hours ago at the school.
Jessica,carbonara,last summer,in the park,Jessica ate carbonara last summer in the park.
Richard,sandwich,last winter,at the restaurant,Richard ate sandwich last winter at the restaurant.
Matthew,doughnuts,last summer,in the kitchen,Matthew ate doughnuts last summer in the kitchen.
Emily,toast,last Sunday,in the kitchen,Emily ate toast last Sunday in the kitchen.
Joseph,burrito,last Monday,at the school,Joseph ate burrito last Monday at the school.
Emma,chicken wings,two hours ago,at the school,Emma ate chicken wings two hours ago at the school.
Ethan,doughnuts,lately,on the rooftop,Ethan ate doughnuts lately on the rooftop.
Paul,hamburger,lately,on the rooftop,Paul ate hamburger lately on the rooftop.
Anna,toast,last winter,in the station,Anna ate toast last winter in the station.
Kimberly,fried chicken,last winter,in the station,Kimberly ate fried chicken last winter in the station.
Lucas,potatoes,last month,in the office,Lucas ate potatoes last month in the office.
Daniel,pancakes,today,at the mall,Daniel ate pancakes today at the mall.
Matthew,tacos,last Monday,in the office,Matthew ate tacos last Monday in the office.
James,hamburger,two hours ago,in the office,James ate hamburger two hours ago in the office.
Sarah,sandwich,last year,at the restaurant,Sarah ate sandwich last year at the restaurant.
Lauren,sushi,two hours ago,in the park,Lauren ate sushi two hours ago in the park.
William,nachos,this weekend,at the mall,William ate nachos this weekend at the mall.
Kimberly,doughnuts,last year,in the garden,Kimberly ate doughnuts last year in the garden.
Claire,burrito,last spring,at the restaurant,Claire ate burrito last spring at the restaurant.
Jessica,pasta,last Monday,in the station,Jessica ate pasta last Monday in the station.
Emma,fish,last year,in the garden,Emma ate fish last year in the garden.
Alice,bread,last Sunday,in the park,Alice ate bread last Sunday in the park.
Alice,pasta,today,in the garden,Alice ate pasta today in the garden.
Charles,omelette,two hours ago,on the rooftop,Charles ate omelette two hours ago on the rooftop.
Michael,hamburger,last Monday,at the mall,Michael ate hamburger last Monday at the mall.
Lauren,soup,this morning,at the mall,Lauren ate soup this morning at the mall.
Claire,omelette,last Thursday,at the mall,Claire ate omelette last Thursday at the mall.
Hannah,cereal,last Tuesday,in the kitchen,Hannah ate cereal last Tuesday in the kitchen.
Robert,bread,last Saturday,at the restaurant,Robert ate bread last Saturday at the restaurant.
Emma,omelette,last Wednesday,in the garden,Emma ate omelette last Wednesday in the garden.
Sophie,apple pie,last year,at the restaurant,Sophie ate apple pie last year at the restaurant.
Alice,cereal,last year,at the school,Alice ate cereal last year at the school.
Lisa,curry,last Monday,in the station,Lisa ate curry last Monday in the station.
Rachel,doughnuts,last fall,at the cafe,Rachel ate doughnuts last fall at the cafe.
Jennifer,burrito,last Wednesday,at the cafe,Jennifer ate burrito last Wednesday at the cafe.
Olivia,omelette,last Monday,in the office,Olivia ate omelette last Monday in the office.
Julia,carbonara,last night,at the cafe,Julia ate carbonara last night at the cafe.
Lucas,sushi,last month,at the mall,Lucas ate sushi last month at the mall.
Sam,noodle,yesterday,in the office,Sam ate noodle yesterday in the office.
Alice,potatoes,yesterday,in the office,Alice ate potatoes yesterday in the office.
Anna,nachos,last winter,in the kitchen,Anna ate nachos last winter in the kitchen.
James,noodle,this afternoon,at the restaurant,James ate noodle this afternoon at the restaurant.
Emily,noodle,last year,at the restaurant,Emily ate noodle last year at the restaurant.
Emma,wok,last Wednesday,at the school,Emma ate wok last Wednesday at the school.
Lucas,lasagna,last year,on the rooftop,Lucas ate lasagna last year on the rooftop.
Alice,toast,last Thursday,in the office,Alice ate toast last Thursday in the office.
Claire,pasta,this morning,in the office,Claire ate pasta this morning in the office.
Charles,hamburger,last Sunday,at the school,Charles ate hamburger last Sunday at the school.
William,sandwich,last Thursday,in the kitchen,William ate sandwich last Thursday in the kitchen.
Alice,cereal,last summer,at the cafe,Alice ate cereal last summer at the cafe.
Emma,hamburger,last night,in the kitchen,Emma ate hamburger last night in the kitchen.
Alice,fish,last year,at the cafe,Alice ate fish last year at the cafe.
Thomas,noodle,last winter,in the park,Thomas ate noodle last winter in the park.
Karen,potatoes,last Monday,at the mall,Karen ate potatoes last Monday at the mall.
Robert,hamburger,last year,at the school,Robert ate hamburger last year at the school.
David,tacos,last spring,at the restaurant,David ate tacos last spring at the restaurant.
Sarah,waffles,last Saturday,in the park,Sarah ate waffles last Saturday in the park.
Lucas,burrito,last Saturday,in the park,Lucas ate burrito last Saturday in the park.
John,bagel,this morning,in the station,John ate bagel this morning in the station.
Charles,pasta,last summer,at the cafe,Charles ate pasta last summer at the cafe.
John,wok,last Thursday,in the garden,John ate wok last Thursday in the garden.
Ethan,salad,this weekend,in the kitchen,Ethan ate salad this weekend in the kitchen.
Lucas,tacos,this afternoon,at the school,Lucas ate tacos this afternoon at the school.
Robert,soup,last winter,on the rooftop,Robert ate soup last winter on the rooftop.
Ben,waffles,last Monday,at the restaurant,Ben ate waffles last Monday at the restaurant.
Mark,banana,two hours ago,at the mall,Mark ate banana two hours ago at the mall.
Hannah,banana,last spring,on the rooftop,Hannah ate banana last spring on the rooftop.
Sophie,noodle,two hours ago,in the station,Sophie ate noodle two hours ago in the station.
Sarah,falafel,last summer,in the office,Sarah ate falafel last summer in the office.
David,beef,last Friday,at the school,David ate beef last Friday at the school.
Charles,burrito,last winter,at the mall,Charles ate burrito last winter at the mall.
Jason,lasagna,last month,in the garden,Jason ate lasagna last month in the garden.
Robert,doughnuts,last year,in the office,Robert ate doughnuts last year in the office.
Charles,spaghetti,last Saturday,at the restaurant,Charles ate spaghetti last Saturday at the restaurant.
